nvid	description	result	old nv value	new nv value
6544	NV_LTE_B7_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20865	RFNV_LTE_B8_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
20867	RFNV_LTE_B8_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20858	RFNV_LTE_B8_MAX_TX_POWER_I	N	22	23
20869	RFNV_LTE_B8_TX_LIMIT_VS_TEMP_I	N	-6,-3,-2,0,0,1,2,3	8,5,2,0,-3,-7,-9,-10
20862	RFNV_LTE_B8_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
20863	RFNV_LTE_B8_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21313		Y	not found	not found
24939	RFNV_LTE_B8_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
20849	RFNV_LTE_B8_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22151	RFNV_LTE_B12_PA_RANGE_MAP_I	N	not found	3,0,0,0
22153	RFNV_LTE_B12_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
22144	RFNV_LTE_B12_MAX_TX_POWER_I	N	not found	23
22155	RFNV_LTE_B12_TX_LIMIT_VS_TEMP_I	N	not found	8,5,2,0,-3,-7,-9,-10
22148	RFNV_LTE_B12_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
22149	RFNV_LTE_B12_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200		Y	not found	not found
24943	RFNV_LTE_B12_MIN_TX_POWER_DB10_I	N	not found	1,-440
22135	RFNV_LTE_B12_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6509	NV_LTE_B13_PA_RANGE_MAP_I	Y	3,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0
6511	NV_LTE_B13_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
6502	NV_LTE_B13_MAX_TX_POWER_I	N	22	23
6513	NV_LTE_B13_TX_LIMIT_VS_TEMP_I	N	0,0,0,0,0,0,0,0	3,0,-2,-5,-8,-12,-12,-12
6506	NV_LTE_B13_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
6507	NV_LTE_B13_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21315		Y	not found	not found
24944	RFNV_LTE_B13_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
6492	NV_LTE_B13_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6613	NV_LTE_B17_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
6615	NV_LTE_B17_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
6606	NV_LTE_B17_MAX_TX_POWER_I	N	22	23
6617	NV_LTE_B17_TX_LIMIT_VS_TEMP_I	Y	-5,-5,-5,-5,5,5,5,5	-5,-5,-5,-5,5,5,5,5
6610	NV_LTE_B17_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
6611	NV_LTE_B17_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21316		Y	not found	not found
24944	RFNV_LTE_B13_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
6597	NV_LTE_B17_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20161	RFNV_LTE_B20_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
20163	RFNV_LTE_B20_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20154	RFNV_LTE_B20_MAX_TX_POWER_I	N	22	23
20165	RFNV_LTE_B20_TX_LIMIT_VS_TEMP_I	N	0,0,0,0,0,0,0,0	8,5,2,0,-3,-7,-9,-10
20158	RFNV_LTE_B20_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
20159	RFNV_LTE_B20_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21318		Y	not found	not found
24949	RFNV_LTE_B20_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
20145	RFNV_LTE_B20_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22311	RFNV_LTE_B25_PA_RANGE_MAP_I	N	not found	3,0,0,0
22313	RFNV_LTE_B25_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
22304	RFNV_LTE_B25_MAX_TX_POWER_I	N	not found	23
22315	RFNV_LTE_B25_TX_LIMIT_VS_TEMP_I	N	not found	8,5,2,0,-3,-7,-9,-10
22308	RFNV_LTE_B25_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
22309	RFNV_LTE_B25_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22360		Y	not found	not found
24952	RFNV_LTE_B25_MIN_TX_POWER_DB10_I	N	not found	1,-440
22295	RFNV_LTE_B25_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24632	RFNV_LTE_B26_PA_RANGE_MAP_I	N	not found	3,0,0,0
24631	RFNV_LTE_B26_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
24625	RFNV_LTE_B26_MAX_TX_POWER_I	N	not found	23
24641	RFNV_LTE_B26_TX_LIMIT_VS_TEMP_I	N	not found	3,0,-2,-5,-8,-12,-12,-12
24633	RFNV_LTE_B26_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
24630	RFNV_LTE_B26_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24693		Y	not found	not found
24953	RFNV_LTE_B26_MIN_TX_POWER_DB10_I	N	not found	1,-440
24616	RFNV_LTE_B26_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27252	NV_LTE_B27_PA_RANGE_MAP_I	N	not found	3,0,0,0
27254	NV_LTE_B27_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
27248	NV_LTE_B27_MAX_TX_POWER_I	N	not found	23
27256	NV_LTE_B27_TX_LIMIT_VS_TEMP_I	N	not found	8,5,2,0,-3,-7,-9,-10
27266		Y	not found	not found
27272	NV_LTE_B27_MIN_TX_POWER_DB10_I	N	not found	1,-440
27231	NV_LTE_B27_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25461	NV_LTE_B28_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
25463	NV_LTE_B28_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
25464	NV_LTE_B28_TX_CAL_CHAN_I	Y	27210,27230,27250,27270,27290,27308,27330,27350,27370,27390,27410,27430,27450,27470,27490,27509	27210,27230,27250,27270,27290,27308,27330,27350,27370,27390,27410,27430,27450,27470,27490,27509
25465	NV_LTE_B28_TX_LIMIT_VS_TEMP_I	N	0,0,0,0,5,5,5,5	3,0,-2,-5,-8,-12,-12,-12
25458	NV_LTE_B28_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
25457		Y	not found	not found
25478		Y	not found	not found
25486	NV_LTE_B28_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
25436	NV_LTE_B28_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20401	RFNV_LTE_B38_PA_RANGE_MAP_I	N	not found	3,0,0,0
20403	RFNV_LTE_B38_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20394	RFNV_LTE_B38_MAX_TX_POWER_I	N	not found	23
20405	RFNV_LTE_B38_TX_LIMIT_VS_TEMP_I	N	not found	0,0,0,0,0,0,0,0
20398	RFNV_LTE_B38_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
20399	RFNV_LTE_B38_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21319		Y	not found	not found
24959	RFNV_LTE_B38_MIN_TX_POWER_DB10_I	N	not found	1,-470
20385	RFNV_LTE_B38_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6665	NV_LTE_B40_PA_RANGE_MAP_I	N	not found	3,0,0,0
6667	NV_LTE_B40_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
6658	NV_LTE_B40_MAX_TX_POWER_I	N	not found	23
6669	NV_LTE_B40_TX_LIMIT_VS_TEMP_I	N	not found	8,5,2,0,-3,-7,-9,-10
6662	NV_LTE_B40_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
6663	NV_LTE_B40_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21320		Y	not found	not found
24961	RFNV_LTE_B40_MIN_TX_POWER_DB10_I	N	not found	1,-470
6649	NV_LTE_B40_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21630	RFNV_LTE_B41_PA_RANGE_MAP_I	N	not found	3,0,0,0
21632	RFNV_LTE_B41_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
21623	RFNV_LTE_B41_MAX_TX_POWER_I	N	not found	23
21634	RFNV_LTE_B41_TX_LIMIT_VS_TEMP_I	N	not found	0,0,0,0,0,0,0,0
21627	RFNV_LTE_B41_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
21628	RFNV_LTE_B41_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21679		Y	not found	not found
24953	RFNV_LTE_B26_MIN_TX_POWER_DB10_I	N	not found	1,-440
21614	RFNV_LTE_B41_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
